affix,agent,concept,concept_base,concept_translation,direction,direction_base,direction_translation,gloss,mode,mode_base,mode_translation,object,object_base,object_translation,patient,person,preverb,preverb_base,preverb_translation,subject,subject_base,subject_translation,tense,tense_base,tense_translation,text,text_breakdown,text_label,verb,verb_base,verb_translation,verb_type
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEwâpiVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,wâpiyiwa,__wâpi_yiwa,concept_spelling_verb_concept,wâpiVAI,wâpi,see,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEwaniskaVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,waniskayiwa,__waniska_yiwa,concept_spelling_verb_concept,waniskaVAI,waniska,wake up,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEtapasiVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,tapasiyiwa,__tapasi_yiwa,concept_spelling_verb_concept,tapasiVAI,tapasi,run away,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEpimipahtaVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,pimipahtayiwa,__pimipahta_yiwa,concept_spelling_verb_concept,pimipahtaVAI,pimipahta,run,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEnipaVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,nipayiwa,__nipa_yiwa,concept_spelling_verb_concept,nipaVAI,nipa,sleep,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEnipawiVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,nipawiyiwa,__nipawi_yiwa,concept_spelling_verb_concept,nipawiVAI,nipawi,stand,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEnanâskomoVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,nanâskomoyiwa,__nanâskomo_yiwa,concept_spelling_verb_concept,nanâskomoVAI,nanâskomo,be grateful,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEmîcisoVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,mîcisoyiwa,__mîciso_yiwa,concept_spelling_verb_concept,mîcisoVAI,mîciso,eat,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEmêtawêVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,mêtawêyiwa,__mêtawê_yiwa,concept_spelling_verb_concept,mêtawêVAI,mêtawê,play,VAI
-,,VAI3'NONE,____yiwa    | ê-____yit ,4th Person acting,animate_intransitive,-,Someone acting,prsNONEkwayaskwâtisiVAI3',ind,-,Independent,NONE,-,,,3,NONE,mahkikway preverb,no preverb,3',John okosisa,4th Person,prs,-,present,kwayaskwâtisiyiwa,__kwayaskwâtisi_yiwa,concept_spelling_verb_concept,kwayaskwâtisiVAI,kwayaskwâtisi,be honest,VAI
